admonition_id,admonition_sha256,source_file,source_reference,type,lesson_ids,candidate_lesson_id,coverage_decision,editorial_status,technical_status,preview
LanguageGuide/StringsAndCharacters.xhtml#note-010,39fa18cf548c5cf19dae1bb4b6068dc19c5a5d3b2c9e25008d5370b177a768e1,LanguageGuide/StringsAndCharacters.xhtml,LanguageGuide/StringsAndCharacters.xhtml#Prefix-and-Suffix-Equality,note,swift.strings.prefix|swift.strings.suffix,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note The hasPrefix(_:) and hasSuffix(_:) methods perform a character-by-character canonical equivalence comparison between the extended grapheme clusters in each string, as described in String and Character Equality ."
LanguageGuide/CollectionTypes.xhtml#note-001,bed5a68665aa31b3dcc9ecae14541e7fa0924a4260e0c4dccd57cac8ad74dd49,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#collection-types,note,swift.generics.type,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note Swift's array, set, and dictionary types are implemented as generic collections . For more about generic types and collections, see Generics ."
LanguageGuide/CollectionTypes.xhtml#note-002,3a45146b4d155616715d994effd6caf2be3ef9ce2de608e6187c737459638703,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Mutability-of-Collections,note,swift.collections.mutability,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Note It's good practice to create immutable collections in all cases where the collection doesn't need to change. Doing so makes it easier for you to reason about your code and enables the Swift compiler to optimize the performance of the c
LanguageGuide/CollectionTypes.xhtml#note-003,10560004acc370a144f88e6d02366495235d8657c42d82aeb77d20d8903810ad,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Arrays,note,swift.arrays.foundation-bridging,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note Swift's Array type is bridged to Foundation's NSArray class. For more information about using Array with Foundation and Cocoa, see Bridging Between Array and NSArray ."
LanguageGuide/CollectionTypes.xhtml#note-004,b713a6279ba689fd1b47c95a7ffef35049dfb90613f8aa0637caf2feb6bbfe31,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Creating-an-Array-with-an-Array-Literal,note,swift.arrays.literal,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Note The shoppingList array is declared as a variable (with the var introducer) and not a constant (with the let introducer) because more items are added to the shopping list in the examples below.
LanguageGuide/CollectionTypes.xhtml#note-005,3b3f7bd1bbc94f041ea80af8d4b8fdab20bb0c665d7f08e3501fdc3a08420813,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Accessing-and-Modifying-an-Array,note,swift.arrays.append|swift.arrays.count|swift.arrays.insert-remove|swift.arrays.replace-subrange|swift.arrays.subscript,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note The first item in the array has an index of 0 , not 1 . Arrays in Swift are always zero-indexed."
LanguageGuide/CollectionTypes.xhtml#note-006,1e738c180a01b43d6a821abda751fa688280261c52ea9d8dabf850f0e3ac0744,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Accessing-and-Modifying-an-Array,note,swift.arrays.append|swift.arrays.count|swift.arrays.insert-remove|swift.arrays.replace-subrange|swift.arrays.subscript,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note If you try to access or modify a value for an index that's outside of an array's existing bounds, you will trigger a runtime error. You can check that an index is valid before using it by comparing it to the array's count property. The"
LanguageGuide/CollectionTypes.xhtml#note-007,414af90743792e434fb3e3c1d34bd2671c088ffa03cfa7d72c485a1b3a74c135,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Sets,note,swift.sets.foundation-bridging,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note Swift's Set type is bridged to Foundation's NSSet class. For more information about using Set with Foundation and Cocoa, see Bridging Between Set and NSSet ."
LanguageGuide/CollectionTypes.xhtml#note-008,2290fa39e18b5f163f651a67beddadb461a87feffa2247bb877f415babe2a4f0,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Hash-Values-for-Set-Types,note,swift.sets.hashable-elements,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note You can use your own custom types as set value types or dictionary key types by making them conform to the Hashable protocol from the Swift standard library. For information about implementing the required hash(into:) method, see Hasha"
LanguageGuide/CollectionTypes.xhtml#note-009,1f91c0cde9b68e91bd1100060b90776e05a54927cc7ce22b5b9325cd6c7ed46c,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Creating-and-Initializing-an-Empty-Set,note,swift.sets.empty,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note The type of the letters variable is inferred to be Set<Character> , from the type of the initializer."
